#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
.,#,.,.,.,#,.,#,#,.,.,.,#,.,.,.,#,.,#,.,.,#,.,#,.,.,#,.,#,#,#,.,#,#,#,.,#,#,.,#,#,.,#,.,.,#,#,.,#,.,#,.,#,.,#,.,.,#,.,#,.,.,.,#,.,#,.,.,.,.,#,.,.,#,.,#,.,#,.,.,#,#,#,.,.,#,.,.,.,.,.,.,#,.,#,.,#,.,#,#,.,#,.,#,.,.,.,#,.,.,.,#,.,#,#,.,.,.,.,.,.,.,#,#,.,#,.,.,.,#,.,#,.,#,.,.,.,.,#,#,#,#,.,#,.,#,#,.,.,#,.,#,#,.,.,#,.,#,.,#,.,#,.,#,.,.,.,.,.,#,.,.,#,.,.,.,#,.,#,.,.,#,#,#,#,.,#,#,#,.,#,.,.,#,.,.,#,.,#,.,.,.,#,.,#,#,.,.,#,.,#,.,.,.,#,.,.,.,#,.,#,.,.,#,.,.,.,#,#,.,#,#,.,.,.,.,.,#,.,#,.,.,.,.,.,#,#,.,#,.
#,.,.,#,#,.,.,#,.,.,#,#,.,.,#,.,.,#,.,#,.,.,.,#,#,.,#,.,#,.,.,.,.,#,#,.,#,.,.,.,.,.,.,#,#,.,#,.,#,.,#,.,.,#,.,#,#,.,.,#,#,.,#,#,.,.,#,.,#,.,.,#,.,.,.,.,#,.,.,#,.,#,.,#,.,.,#,#,#,#,#,.,#,.,.,.,#,.,.,#,.,.,#,#,#,#,.,.,.,#,.,.,.,#,#,#,.,#,#,#,#,#,.,#,.,#,#,.,#,.,.,#,.,#,#,.,#,#,.,.,.,.,#,.,.,.,.,.,#,.,.,.,.,#,.,.,.,#,#,#,.,#,.,.,#,#,#,#,.,.,.,#,.,.,#,#,.,.,.,#,#,.,.,.,#,#,.,.,.,.,#,.,#,.,#,.,.,.,#,.,#,#,.,.,.,#,.,#,.,.,#,#,.,#,.,.,#,.,#,.,#,#,.,.,#,#,.,.,.,#,.,#,#,.,#,#,#,.,.,#,#,.,#,.,#,.,.,.,#,.
.,#,.,.,.,#,#,#,.,#,#,.,.,#,#,#,.,.,.,.,#,.,#,.,.,.,#,.,.,#,.,#,.,.,.,.,#,.,#,#,#,#,.,.,.,.,.,.,#,.,#,#,.,.,.,.,.,.,#,.,.,.,#,.,.,#,.,.,.,#,.,.,#,.,#,.,#,.,#,.,.,.,.,.,#,.,.,.,.,.,#,.,#,#,.,#,.,.,#,.,#,.,.,#,.,.,#,#,#,.,#,#,#,.,#,.,.,#,.,.,.,#,.,#,.,.,.,.,#,.,#,.,.,.,#,.,.,.,.,#,#,.,.,#,#,.,#,#,.,.,#,#,.,#,.,#,#,.,.,.,.,.,#,.,#,.,.,.,#,#,#,.,.,#,.,.,.,#,.,.,.,.,#,.,.,#,.,#,#,#,.,.,#,.,.,#,#,.,.,.,#,.,.,#,.,#,.,.,#,.,.,.,.,#,.,#,.,#,.,.,.,#,#,.,.,.,#,#,#,.,.,.,.,#,.,.,.,.,#,.,.,.,.,#,#,.,#,#,.,.
.,#,.,#,#,.,.,.,.,#,.,.,#,.,#,.,#,.,#,.,#,#,.,.,#,#,.,#,.,.,#,.,.,#,#,#,.,.,#,.,.,.,#,.,#,#,#,.,#,.,.,.,#,#,#,.,#,#,.,.,#,.,.,#,.,#,.,#,#,.,.,#,.,.,#,#,#,.,.,#,.,#,.,#,#,#,#,#,.,#,.,.,.,#,.,.,#,.,#,.,.,#,.,.,#,.,#,.,.,.,.,.,.,.,.,.,#,.,#,.,#,.,.,.,#,#,#,.,#,.,.,#,#,.,#,#,.,#,.,.,.,#,.,.,.,#,.,#,.,#,#,#,.,#,.,.,#,.,#,.,#,.,#,.,.,#,#,.,.,.,.,#,.,.,.,#,#,.,#,.,#,.,#,#,.,#,.,.,.,.,#,.,.,.,#,.,.,#,#,#,.,#,#,#,.,.,#,.,.,#,#,#,#,.,.,.,.,.,#,#,.,.,.,#,#,.,#,.,.,.,#,#,.,.,.,#,#,#,.,#,.,#,.,.,.,.,#,.,#,.
.,#,#,.,.,.,#,.,#,.,.,#,.,.,.,.,.,#,#,.,.,.,#,.,.,.,.,.,#,.,#,.,#,.,.,.,.,#,#,.,#,.,#,#,.,.,.,#,.,#,.,#,.,.,.,#,.,.,#,.,#,.,#,#,.,#,.,#,#,.,#,.,.,#,.,.,.,.,#,.,.,#,.,.,#,.,.,#,.,#,.,#,#,.,.,#,.,.,#,.,#,#,#,.,#,.,.,.,#,#,#,#,#,#,.,#,.,.,.,.,.,.,#,.,.,.,#,.,.,#,.,.,#,.,.,.,#,.,.,#,.,.,#,.,#,.,.,#,.,.,#,.,.,.,#,#,.,.,.,#,.,#,.,.,#,.,.,.,#,#,.,.,#,#,#,#,.,.,.,#,.,.,.,#,.,.,#,.,#,.,#,.,#,.,#,#,.,.,.,.,.,.,.,.,.,#,.,#,.,.,.,.,#,.,#,.,#,.,.,#,#,#,.,.,#,.,.,.,#,#,#,.,#,#,#,.,.,.,.,.,#,#,.,#,#,#,.,.,.,.
.,.,.,.,#,.,#,#,.,#,.,#,.,#,#,#,.,#,.,#,#,.,#,#,.,#,#,#,#,.,#,.,#,.,#,#,#,.,.,.,#,.,.,.,.,#,.,#,.,#,.,.,.,#,.,.,#,.,.,.,.,#,.,.,.,#,#,.,.,.,#,.,#,#,.,#,#,#,.,#,.,.,#,.,#,#,.,#,.,.,.,.,.,.,#,.,#,.,#,.,#,#,.,.,.,.,#,#,#,.,.,.,.,.,#,.,.,#,#,#,.,#,.,.,#,.,#,.,#,.,.,#,.,#,#,.,.,#,#,.,#,#,#,.,.,.,#,.,#,.,#,#,#,.,.,.,#,#,.,.,.,.,#,.,.,.,#,#,.,.,.,#,.,.,.,.,.,#,.,#,#,#,.,#,.,#,.,#,#,.,.,#,.,.,.,.,.,#,.,#,#,#,#,#,.,#,.,.,#,#,#,.,.,.,#,.,.,#,.,.,.,.,#,.,.,#,#,#,.,.,.,.,.,.,#,.,#,.,#,.,.,.,.,.,.,.,#,.,#,#
#,#,#,.,#,#,.,.,.,.,#,.,.,#,.,.,.,#,.,#,.,.,.,#,.,#,.,.,.,.,#,#,#,.,#,.,#,.,#,#,.,#,.,#,#,.,.,#,.,.,.,#,#,.,.,#,.,.,#,.,#,.,.,#,#,.,.,.,#,.,#,.,.,.,.,#,.,.,.,.,#,.,#,.,.,#,.,.,#,#,.,#,#,#,.,.,.,.,#,.,.,.,.,#,#,#,.,.,.,.,#,.,#,.,.,.,#,.,.,.,#,.,.,#,.,#,#,.,.,#,.,#,.,.,.,#,.,.,.,.,.,.,.,.,#,.,#,.,#,.,.,.,#,#,#,.,#,.,.,#,#,.,#,#,.,#,.,.,.,#,#,.,.,#,#,#,#,#,.,.,.,.,#,.,.,#,.,.,.,#,.,#,.,#,.,#,.,.,#,.,.,.,.,#,.,#,.,#,.,.,.,#,#,#,.,#,#,.,#,#,.,#,.,#,.,#,.,.,#,.,#,#,#,.,.,#,.,#,#,.,#,#,#,#,#,.,#,#,.,.
.,.,.,.,.,#,.,#,#,.,#,#,.,#,.,#,#,#,.,.,.,#,#,.,.,#,.,#,.,#,.,.,.,.,#,.,#,.,#,.,.,.,#,.,.,.,#,#,#,#,#,#,.,.,#,#,.,#,.,.,.,#,.,#,.,.,#,.,#,.,#,#,#,.,#,.,.,#,#,.,.,.,.,#,.,.,.,#,.,.,#,.,.,.,#,#,.,#,.,#,#,#,#,#,.,.,.,#,#,.,.,#,.,.,#,#,.,.,#,.,.,#,.,#,.,.,.,.,#,.,.,#,.,#,.,.,#,.,#,.,#,#,#,#,.,.,#,.,.,#,#,.,.,.,#,.,.,#,.,.,#,.,.,.,#,.,.,#,#,.,.,.,#,#,.,.,.,.,#,#,#,.,.,#,.,.,.,#,.,#,.,.,#,.,.,.,#,#,.,.,#,#,.,#,.,.,.,#,#,.,#,#,.,.,.,.,.,.,.,#,.,.,.,#,.,#,#,.,#,.,#,.,.,#,.,.,.,.,.,#,.,.,.,.,#,.,.,#,.,#
.,#,#,.,#,#,.,.,#,.,.,.,.,#,.,.,.,.,#,.,#,.,.,.,#,.,.,#,#,.,.,#,.,#,#,.,#,.,#,.,#,#,#,.,#,#,#,#,.,.,.,.,.,#,.,.,.,#,.,#,.,#,.,.,#,.,.,#,.,.,.,.,.,#,.,#,#,#,.,#,#,#,.,#,#,#,.,.,#,.,#,.,#,.,.,.,.,#,.,.,.,.,.,.,#,#,.,.,#,#,.,.,#,#,.,.,.,#,.,#,.,#,.,.,#,.,#,#,.,.,#,.,.,#,#,#,#,#,.,#,.,.,.,#,#,.,#,#,.,.,#,.,#,.,#,#,.,.,#,.,#,#,#,.,#,.,#,#,.,.,#,#,.,.,.,#,#,.,.,.,.,#,.,.,#,.,#,.,.,.,#,.,#,.,#,#,.,.,.,#,#,#,.,.,#,#,.,.,#,.,.,.,#,.,#,#,.,#,.,.,#,.,#,#,.,.,.,.,.,.,#,.,#,#,#,#,#,#,.,.,#,.,#,.,.,#,.,.,.,#
.,#,.,#,.,.,.,#,.,#,#,.,#,.,#,#,#,.,#,.,.,.,#,.,.,#,.,.,.,#,.,#,#,.,.,.,#,.,#,.,.,.,.,.,#,.,#,.,.,#,#,#,#,#,#,#,#,#,.,#,.,.,#,.,#,#,.,#,#,#,#,#,.,#,.,.,.,.,.,.,.,#,.,.,.,.,#,.,#,.,#,.,#,#,#,#,#,.,.,#,#,.,#,.,.,.,#,.,.,.,#,#,.,.,.,#,#,.,.,#,.,.,#,.,#,.,#,.,#,.,#,#,.,.,.,.,#,.,.,#,.,#,.,.,.,.,.,.,#,.,.,#,.,.,.,.,#,.,.,#,.,.,.,.,#,.,.,.,.,#,.,.,.,#,#,.,#,.,#,#,.,.,#,.,#,#,.,.,#,#,.,.,#,.,#,.,.,#,.,.,#,.,#,.,.,.,#,.,.,.,#,.,#,.,#,.,.,#,.,#,.,.,#,.,#,#,#,.,#,#,.,.,.,#,.,.,.,#,.,#,.,.,#,#,.,.,#,#,#,.
.,.,.,#,.,#,#,#,.,.,.,#,.,.,.,.,#,.,.,#,#,.,#,#,#,.,.,#,.,.,.,.,.,#,.,#,#,.,.,#,.,#,.,#,.,.,.,.,#,#,.,.,.,#,.,.,.,.,.,.,#,.,#,.,.,#,.,.,.,.,.,#,.,.,#,.,#,#,#,#,.,#,.,#,#,.,#,.,.,.,#,.,.,.,.,.,.,.,#,.,.,#,.,#,#,.,.,#,#,.,.,#,.,#,.,.,.,.,#,.,#,.,#,#,#,.,#,.,#,.,.,#,.,#,#,.,.,.,#,#,.,.,#,.,#,#,#,.,.,#,.,.,#,#,#,.,.,#,.,.,.,#,#,#,#,#,#,.,#,.,.,#,#,.,#,.,.,#,.,#,.,#,#,.,.,.,#,.,.,.,#,.,#,.,#,.,#,.,#,.,.,.,.,#,#,.,.,#,#,#,.,.,#,.,#,.,#,#,.,#,.,#,.,.,.,.,.,#,.,.,.,#,.,.,.,#,.,#,.,.,.,#,.,#,#,.,#,.,.,.
.,#,.,#,.,.,.,.,#,#,.,#,.,#,#,.,.,#,.,.,.,#,.,.,.,#,.,.,#,#,#,#,.,.,.,#,.,#,.,.,#,.,.,#,.,#,.,#,.,.,.,#,.,.,.,#,#,#,.,#,#,#,.,#,.,#,.,#,#,#,.,.,#,.,.,.,#,.,.,#,.,#,.,.,#,.,.,#,#,.,#,.,#,.,#,#,#,#,.,#,.,.,.,#,.,#,.,#,.,.,#,.,.,#,#,#,#,#,#,.,.,.,.,.,.,.,.,.,.,#,.,#,#,.,.,.,#,#,.,.,#,.,.,#,.,.,.,#,.,.,#,.,.,.,.,#,.,.,#,#,#,.,.,.,#,.,.,#,.,.,#,.,.,.,.,#,.,.,.,#,.,.,.,#,#,.,#,.,#,.,#,.,#,#,#,.,#,.,.,#,#,.,#,.,.,.,#,.,.,.,#,.,#,.,#,.,.,.,#,#,.,.,.,#,#,.,#,.,.,#,#,.,#,.,#,.,#,.,#,#,#,.,.,.,.,.,#,.,#,#
#,.,#,.,.,#,#,.,#,.,.,.,.,#,.,.,#,.,#,#,.,.,.,#,.,.,#,#,.,.,.,#,.,#,#,.,.,#,.,#,.,.,#,#,#,.,.,#,#,#,.,.,#,.,#,.,.,#,.,.,#,.,.,.,.,#,.,#,.,.,.,#,#,#,#,#,.,#,.,#,.,.,#,.,.,#,.,#,.,.,.,#,.,#,.,.,.,.,.,.,#,.,#,.,.,#,.,.,#,.,.,.,#,.,.,.,.,.,.,#,.,#,#,#,#,#,.,#,#,#,.,.,.,#,#,.,.,.,#,.,#,.,#,.,.,#,.,.,#,.,.,#,.,#,.,#,#,.,.,.,.,.,#,.,.,#,.,.,#,.,#,#,.,#,.,#,#,.,#,.,#,#,.,.,#,.,#,.,#,.,#,.,.,.,.,.,.,#,.,.,.,#,.,.,#,#,#,.,#,.,.,.,#,.,.,#,#,.,.,.,#,#,#,.,.,.,.,#,.,#,.,.,#,.,.,.,.,.,.,.,#,.,#,#,#,#,.,.,#,#
.,.,.,#,.,.,#,.,#,#,#,#,#,.,.,#,#,.,.,.,#,#,#,#,#,.,#,.,.,#,.,#,.,.,.,.,#,.,.,#,#,.,.,#,.,.,#,.,.,.,#,.,#,.,#,.,#,#,.,#,.,.,#,#,#,.,.,#,.,#,#,.,#,.,.,.,.,.,.,.,#,.,.,#,#,.,.,#,.,#,.,#,.,.,.,#,.,#,#,.,#,.,.,.,#,#,.,#,#,.,#,#,.,.,#,.,#,#,.,.,#,.,.,.,.,#,#,.,.,.,#,#,.,#,.,.,#,.,.,.,#,.,.,#,.,.,#,.,.,#,.,.,.,#,.,.,.,#,#,#,#,#,#,#,.,.,#,.,.,.,.,.,.,#,.,.,.,.,.,.,.,.,#,.,.,.,#,.,#,.,.,#,#,#,.,#,.,#,.,#,.,#,#,.,#,.,.,.,#,#,#,#,.,#,.,.,.,#,.,#,.,.,.,.,#,#,.,#,.,#,.,#,.,#,#,#,.,#,#,.,#,.,#,.,.,.,#,.,.,.
.,#,.,.,#,#,#,.,.,.,.,.,#,.,#,.,.,.,#,.,.,.,.,#,#,.,.,.,#,.,.,#,#,#,#,#,#,.,#,.,.,#,.,.,#,.,#,.,#,.,#,#,.,.,#,.,.,.,.,.,#,.,#,.,.,.,#,.,.,#,.,.,.,.,#,#,#,.,#,.,.,#,.,.,.,.,#,.,#,.,.,#,#,.,#,.,.,#,.,.,.,#,.,#,.,.,.,#,.,.,.,#,.,#,.,#,#,.,#,.,#,.,#,#,.,.,#,.,#,.,.,.,.,#,.,#,.,#,#,.,.,#,.,.,#,#,#,.,#,.,#,.,#,.,#,.,#,#,.,.,.,.,#,.,#,.,.,#,.,#,#,#,#,.,#,.,#,#,#,#,.,#,.,#,#,#,.,.,#,.,#,.,.,.,#,.,#,.,.,#,.,.,.,.,#,#,.,#,.,.,.,#,.,.,#,#,#,.,.,#,.,#,#,#,#,.,.,#,.,#,.,#,.,#,.,#,.,.,#,#,#,.,.,.,#,.,#,.,#,#
#,.,#,.,.,.,.,#,.,#,#,.,#,.,.,.,#,#,.,.,#,#,.,.,.,#,#,#,.,#,.,.,.,.,.,.,.,.,#,#,.,.,#,.,#,.,.,.,#,.,.,.,#,.,#,#,#,#,#,.,#,.,.,#,#,#,.,.,#,.,#,.,#,#,.,.,#,.,.,#,.,.,#,#,#,#,.,.,#,.,#,.,.,.,#,.,#,.,.,#,.,#,.,.,#,.,#,.,.,#,#,#,.,#,.,.,.,.,#,.,#,.,.,.,#,.,.,.,#,.,#,#,#,#,.,.,.,.,.,#,.,.,#,.,.,.,.,.,.,.,.,#,.,.,.,#,.,.,.,#,#,.,#,.,.,#,.,.,.,#,.,.,.,.,.,#,.,.,.,.,.,.,.,.,.,#,#,#,.,.,#,.,#,.,.,.,.,.,#,.,#,#,.,#,.,.,.,.,.,#,.,#,#,.,.,.,.,.,#,.,.,#,.,.,.,.,#,.,.,#,.,.,.,.,.,#,.,#,.,.,.,#,#,#,.,.,#,.,.,.
.,.,#,#,.,#,.,#,.,.,#,.,.,#,.,#,.,.,.,#,.,.,#,.,#,.,.,.,.,#,#,#,#,#,#,#,.,#,.,.,.,#,#,.,#,.,#,.,#,#,#,.,#,.,.,.,.,.,.,#,.,#,.,.,.,.,#,.,#,.,#,.,.,.,#,.,.,#,.,.,#,#,#,.,.,.,#,.,.,.,#,.,#,#,.,.,#,#,#,.,.,#,#,.,#,.,.,#,#,#,.,.,.,#,#,.,#,#,.,.,.,#,.,#,.,.,#,#,.,#,.,.,.,.,#,#,.,#,.,#,#,.,#,#,.,#,.,#,#,#,#,.,.,#,.,.,.,#,#,.,#,.,.,.,#,.,#,#,#,#,.,#,#,#,.,#,.,#,#,#,.,#,.,#,.,.,.,.,.,#,#,.,.,#,.,#,#,.,#,.,#,.,.,.,#,#,#,#,#,.,.,.,#,#,.,#,.,#,.,.,#,.,#,#,.,#,.,#,.,.,#,.,#,#,#,.,.,.,.,#,.,#,.,.,.,#,.,#,#,#
#,.,.,.,#,.,.,.,#,.,.,#,.,.,#,.,.,#,#,.,.,#,.,.,.,.,#,#,.,.,.,.,.,.,.,.,#,.,#,.,#,.,.,.,#,.,#,#,.,.,.,.,#,.,#,#,#,#,.,.,.,.,#,.,#,.,.,.,#,.,.,#,.,#,.,.,#,#,#,.,.,.,.,.,#,.,.,.,#,#,.,#,.,.,.,#,.,.,.,#,.,.,.,.,.,#,.,#,.,.,.,#,#,.,.,.,#,#,.,#,.,#,.,.,#,#,.,#,.,.,.,#,.,#,.,.,#,#,.,.,#,.,.,#,.,.,#,.,.,.,#,.,#,.,#,.,#,.,.,.,.,#,#,.,#,.,.,.,.,.,.,#,.,#,.,#,#,.,.,.,#,.,.,#,#,#,#,#,.,.,.,#,.,.,#,.,.,#,.,.,#,.,#,#,.,.,.,.,#,.,#,.,.,.,.,.,#,.,.,#,.,.,.,.,#,#,.,.,#,.,#,.,.,.,.,#,#,#,.,#,.,#,.,#,#,.,.,.,.,.
.,#,#,#,.,.,#,#,.,#,#,#,#,.,.,#,.,.,.,.,#,.,.,#,#,#,.,#,#,.,#,#,#,.,#,.,.,.,#,.,.,#,.,#,.,#,.,.,.,#,#,#,.,#,.,.,.,.,.,#,#,.,.,#,.,#,#,#,.,.,#,.,.,#,#,.,#,#,.,#,#,.,#,#,.,#,.,#,.,#,.,#,.,#,.,#,.,#,.,#,#,#,#,.,#,.,.,#,.,#,#,#,.,#,.,#,.,.,.,#,.,.,#,.,.,.,.,.,#,.,#,.,.,.,.,#,.,.,.,#,.,#,.,#,.,#,.,.,#,.,#,.,#,.,.,#,.,.,#,#,#,.,#,.,.,.,#,#,#,#,#,.,.,.,.,.,.,.,#,.,#,#,#,.,.,.,.,.,#,#,.,#,#,.,.,#,.,.,.,#,.,.,#,.,.,#,#,.,#,#,.,#,.,#,.,#,.,.,#,.,.,#,#,.,.,.,.,#,.,.,#,#,#,#,.,.,.,.,#,#,.,.,.,.,#,.,#,#,.,#
.,.,.,.,.,#,.,.,.,.,.,#,.,#,.,#,.,#,#,.,.,#,#,.,.,.,.,.,.,#,.,.,.,#,.,.,#,.,.,.,#,.,.,#,.,.,.,#,#,.,.,.,.,.,.,#,.,#,.,.,.,#,.,#,.,.,.,.,.,#,.,.,#,.,.,.,.,.,.,.,.,#,.,.,.,.,#,.,.,.,.,.,.,#,#,.,.,#,.,.,.,.,.,#,.,.,#,.,.,#,.,.,.,#,.,#,.,#,#,#,#,.,#,#,.,#,#,.,.,#,.,.,#,#,#,.,.,#,#,.,.,#,.,.,.,#,.,#,.,.,#,.,.,.,#,.,.,#,.,.,.,.,.,#,#,#,.,.,.,.,.,.,#,#,#,#,#,.,#,.,.,.,.,.,#,#,#,.,#,#,.,.,#,.,#,.,#,.,#,.,.,#,.,#,.,.,#,.,.,.,.,.,#,#,#,.,.,#,#,.,#,.,#,.,#,.,#,.,.,#,.,.,.,.,#,#,#,.,.,.,#,#,.,#,.,.,.,#,.,.
.,#,#,#,#,.,.,#,#,#,.,#,.,.,.,#,.,.,.,#,.,#,.,.,#,#,#,#,.,.,.,#,.,.,#,.,.,#,#,#,.,.,#,.,.,#,.,.,.,#,.,#,#,#,.,.,#,.,#,#,#,.,.,#,.,#,.,#,.,#,.,#,.,.,#,#,.,#,.,#,#,#,.,#,.,#,.,.,#,.,#,#,#,.,.,.,#,.,#,#,#,#,.,.,#,.,.,#,.,.,#,.,#,.,.,#,.,.,.,#,.,.,.,#,#,.,.,#,.,#,.,#,.,.,.,.,#,#,.,.,#,.,#,.,#,.,.,#,#,.,.,#,#,.,#,.,#,#,.,#,#,#,.,.,.,#,.,#,#,#,#,.,#,.,.,.,.,#,.,#,.,#,#,#,#,.,#,.,.,.,#,.,#,.,#,.,.,.,#,#,.,.,.,#,.,#,.,#,#,.,#,.,.,#,.,.,#,.,.,.,#,.,.,.,#,.,#,.,#,#,.,#,#,.,.,.,#,.,#,.,.,.,#,.,.,#,.,#,.,#
.,#,.,.,.,.,#,.,.,.,.,#,.,#,.,.,#,#,#,.,.,#,.,#,.,.,.,.,#,#,#,#,#,.,#,.,#,.,.,.,#,.,.,#,.,#,#,#,.,#,.,.,.,#,.,#,.,.,.,.,.,#,.,.,.,#,.,.,#,.,.,#,.,#,.,#,.,.,#,.,.,.,.,#,.,.,.,#,.,.,#,.,.,.,#,.,.,.,.,.,.,#,#,.,.,#,.,.,.,#,.,.,.,.,#,.,#,#,.,.,#,#,.,.,.,.,#,.,.,#,.,.,.,#,#,#,#,.,.,#,.,.,.,#,.,#,.,.,.,#,.,.,#,.,#,.,.,.,.,#,.,#,#,.,#,#,.,#,.,.,.,#,#,.,#,#,.,#,.,#,#,.,.,.,.,.,#,#,#,.,.,#,#,.,#,.,#,.,.,.,.,#,.,#,.,#,.,#,.,#,.,#,.,#,.,#,#,.,#,#,.,#,.,#,#,.,#,.,#,.,.,#,.,#,#,.,.,#,.,.,#,.,.,#,#,#,.,#,.,.
.,.,#,.,#,.,.,#,.,#,.,#,.,.,#,.,#,.,.,.,#,.,.,#,.,#,.,#,.,.,.,#,#,.,#,.,#,.,#,.,#,#,.,.,#,.,.,.,.,#,.,#,.,.,#,.,.,#,#,#,.,.,#,.,#,.,#,#,#,.,#,.,#,.,.,.,#,.,.,.,#,#,#,.,#,#,#,.,#,.,#,.,#,#,.,.,#,#,#,#,.,.,.,#,.,.,#,#,#,.,#,.,#,.,.,.,.,#,#,.,#,.,#,.,#,.,#,.,#,.,.,#,#,.,.,.,.,.,#,.,.,#,.,.,.,.,#,#,.,.,#,.,.,.,#,.,#,#,#,.,.,.,#,.,.,.,.,.,.,#,#,.,.,.,#,.,.,#,.,.,.,.,#,.,#,#,.,.,.,.,#,.,.,.,#,.,.,#,#,#,#,.,#,.,.,#,.,.,.,.,.,#,.,#,.,#,.,.,#,.,.,#,.,.,.,#,.,.,#,.,#,.,.,.,.,#,.,#,.,#,#,#,.,.,.,.,#,.,#,.
.,#,.,.,#,#,.,.,#,.,.,#,#,.,#,.,#,.,#,#,.,.,#,#,.,#,.,.,.,#,#,.,.,.,.,#,.,.,#,.,.,.,#,.,.,.,#,#,#,.,.,.,#,.,#,.,#,#,.,#,.,#,.,#,.,.,.,.,.,.,#,.,.,.,#,.,#,.,#,.,#,.,.,.,.,.,.,.,#,.,#,.,.,.,#,#,.,.,.,.,#,#,.,.,#,.,.,.,.,.,.,.,#,.,#,#,.,.,#,.,#,.,.,.,.,#,.,.,#,.,#,.,.,#,.,#,#,#,.,#,.,#,#,.,#,.,.,#,.,#,.,#,#,#,.,.,#,.,.,.,#,.,.,#,#,#,.,#,.,#,.,.,#,#,.,.,#,.,#,.,#,#,.,.,#,.,.,#,#,#,.,.,#,#,.,.,#,.,.,.,.,.,#,.,#,.,#,.,#,#,.,#,.,#,.,#,.,#,.,#,.,.,#,#,.,.,.,#,.,.,#,.,#,#,.,#,.,#,.,#,#,.,#,.,#,.,.,.,#,.
#,.,.,#,.,.,.,#,.,.,#,.,.,.,#,.,#,.,.,#,.,#,.,.,.,#,.,#,.,.,#,.,#,#,.,#,.,#,.,#,.,#,#,#,#,#,.,.,.,#,#,.,#,.,#,.,.,.,.,#,.,.,.,#,.,#,.,#,.,#,.,.,#,#,.,.,#,#,.,.,#,.,#,#,.,#,#,.,#,.,.,.,#,#,.,.,.,#,#,.,.,#,.,#,.,#,#,#,#,#,#,.,.,#,.,#,#,.,#,.,.,#,.,#,#,.,.,#,#,.,#,#,.,#,.,.,.,.,.,#,.,.,#,#,.,#,.,.,.,#,.,.,.,.,#,.,#,.,#,#,.,.,#,.,.,.,#,.,.,#,.,#,.,.,.,#,.,.,#,.,.,.,#,.,#,.,#,.,.,.,.,#,.,#,.,#,.,.,#,#,#,.,#,.,.,.,.,.,#,.,#,.,.,#,.,.,.,.,.,.,.,#,#,.,#,#,#,.,#,.,#,.,.,#,.,#,.,#,#,.,.,.,#,.,.,#,#,.,#,#
.,#,.,#,.,#,#,.,.,#,#,#,#,#,.,.,.,#,.,.,.,#,.,#,#,.,.,#,#,#,#,.,.,#,#,#,.,#,.,#,.,.,#,.,.,.,.,#,.,#,#,#,#,.,#,.,#,.,#,.,#,#,.,.,.,#,.,.,#,.,.,#,#,.,.,#,.,.,.,#,.,.,#,#,#,.,.,.,.,#,.,#,.,.,.,#,#,.,.,.,#,.,.,.,.,.,.,.,.,.,#,#,.,#,.,.,.,.,#,.,#,.,.,#,.,.,#,.,.,.,.,.,.,.,#,.,#,#,.,.,#,.,.,.,.,#,.,#,.,.,#,.,#,.,#,.,.,#,.,.,.,#,#,.,#,.,#,.,#,.,.,#,.,#,#,.,#,.,#,.,#,.,#,.,#,.,#,.,#,.,#,.,.,#,.,#,.,#,.,.,.,.,#,.,#,#,#,.,.,.,#,.,#,.,#,#,.,#,.,#,.,.,.,.,.,.,#,.,.,.,#,.,#,.,.,#,.,.,.,.,#,.,.,#,.,#,.,.,.,.
.,.,#,.,.,.,.,#,.,#,#,.,.,.,#,#,.,#,.,#,#,.,.,#,.,.,#,.,.,.,.,.,#,.,.,.,.,#,.,.,#,.,.,.,#,.,#,.,.,.,#,.,.,.,#,.,.,#,.,.,.,.,#,.,#,.,#,#,.,.,#,.,.,.,#,#,.,#,.,#,#,.,.,#,.,.,#,#,.,.,#,.,.,#,#,.,.,#,.,#,.,.,#,#,#,#,#,.,#,.,.,#,.,#,.,#,#,#,#,.,.,#,.,.,#,.,.,#,#,#,#,.,#,.,.,#,.,.,.,#,.,.,#,#,.,#,.,.,#,#,.,.,#,.,#,#,.,.,.,#,#,.,.,.,#,.,#,.,#,.,#,.,.,#,.,.,.,.,.,.,.,#,#,.,#,.,#,#,#,.,.,#,.,#,.,#,.,.,#,.,#,.,.,#,.,.,#,#,#,.,#,.,#,.,.,.,#,.,#,.,#,#,#,.,#,.,.,#,.,#,.,.,.,#,.,#,#,.,#,#,#,#,.,#,.,.,#,#,.,#
