#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
.,#,#,#,#,#,#,.,#,.,.,#,.,.,#,#,.,#,.,.,.,.,#,#,.,.,#,#,.,.,.,.,.,#,#,.,#,.,.,.,.,#,.,.,#,.,.,.,#,.,#,#,#,.,#,.,#,.,.,.,#,#,.,.,#,.,#,.,.,#,.,.,#,.,#,#,.,#,.,.,.,#,.,#,.,#,.,.,.,#,.,.,.,.,.,#,.,#,.,#,#,#,#,.,#,.,.,#,#,.,.,.,#,#,.,.,.,#,.,#,#,.,.,.,.,#,#,.,.,.,.,.,.,.,#,#,.,.,.,#,#,#,#,.,.,.,.,#,.,.,.,#,#,.,#,#,.,#,.,#,.,#,#,#,.,#,.,#,.,.,#,#,.,.,.,#,.,#,#,.,#,.,#,.,#,.,.,#,.,#,.,.,#,.,#,.,#,#,.,#,.,.,#,.,#,.,#,.,.,.,.,#,#,#,.,.,#,.,.,.,.,#,.,.,#,#,.,.,#,.,.,#,#,#,.,#,#,.,.,#,.,.,.,.,.,#,#,.,#,#,#,.,.,#,.,#,.,.,#,.,#,.,#,.,#,.,#,.,#,.,.,.,#,.,.,#,.,#,.,#,#,.,#,#,.,.,#,.,#,#,#,.,#,.,.,#,.,.,#,#
#,.,.,.,.,.,.,#,.,#,.,#,#,#,.,.,.,#,#,.,#,.,#,.,#,.,.,#,.,#,.,#,#,.,#,.,.,.,#,#,#,.,.,#,#,.,#,.,#,.,.,#,.,.,.,.,#,.,#,#,.,.,#,.,#,.,.,#,.,.,.,#,#,.,.,.,.,.,#,#,.,#,.,.,#,#,#,.,#,.,.,#,#,#,#,.,.,#,.,.,.,.,.,#,.,.,#,.,.,#,#,#,.,#,.,#,.,.,#,.,#,.,#,#,.,.,#,.,#,#,#,.,#,#,.,.,.,#,#,.,.,.,.,#,.,#,#,.,#,.,#,.,.,#,.,.,.,#,.,#,.,.,.,.,.,#,.,#,#,.,.,.,#,#,#,.,.,#,.,.,.,#,#,.,.,#,.,#,#,#,.,#,.,#,.,.,.,#,.,#,.,#,.,.,.,#,.,#,.,#,#,.,.,.,#,.,.,.,#,.,#,.,.,#,.,.,.,#,.,#,.,.,#,.,.,#,.,.,#,.,.,#,.,#,#,.,#,.,.,.,.,#,.,#,#,.,.,#,#,.,#,.,#,.,#,.,#,.,.,#,#,#,.,.,#,.,.,.,.,#,.,#,.,.,.,#,.,.,#,.,.,.,#,#,.,.,.,#,.,.
.,#,#,.,#,.,#,.,.,.,.,.,.,#,.,#,#,.,.,.,.,#,.,.,.,#,.,#,.,.,#,.,#,.,.,.,#,#,.,.,.,.,#,.,.,.,#,.,.,#,.,.,#,.,#,#,#,.,.,.,#,.,#,.,.,#,.,#,#,#,#,.,.,#,#,.,#,.,.,#,.,.,#,.,.,#,.,.,#,#,.,#,.,.,#,.,#,#,#,.,#,#,.,.,#,.,#,.,#,.,.,.,.,#,.,#,.,#,.,.,.,.,#,.,#,.,#,#,.,.,.,#,.,.,.,#,#,.,.,.,#,#,.,#,.,.,.,.,.,#,.,#,.,.,#,#,.,#,.,.,#,#,.,#,#,.,.,.,.,#,#,.,.,.,.,#,.,#,.,#,.,.,.,#,.,.,#,.,.,.,.,#,.,.,.,#,#,#,.,#,.,#,.,#,.,#,.,#,.,.,.,#,.,#,.,#,#,#,#,.,.,#,#,.,.,#,#,.,.,.,#,.,.,.,#,.,.,#,.,.,#,.,#,.,.,.,.,#,.,#,.,#,.,.,#,.,#,#,.,.,#,.,.,.,#,.,#,.,#,.,.,.,.,#,.,#,#,.,#,.,.,.,#,.,#,.,#,.,.,.,#,.,.,.,.,#,#,.,.,#
.,#,.,.,#,#,#,.,#,.,#,#,.,#,.,.,.,#,#,#,.,#,.,#,.,.,.,#,#,.,#,.,.,.,#,#,#,.,.,#,.,#,.,.,#,#,.,#,.,.,#,.,#,.,#,.,.,#,#,.,#,.,.,#,.,#,.,.,.,.,.,#,.,.,#,#,.,#,.,.,#,.,.,#,.,.,#,.,.,.,.,#,.,#,#,.,.,#,.,#,.,.,#,.,#,.,.,.,.,.,#,.,#,#,.,#,.,.,.,#,.,#,#,.,#,.,.,.,.,#,.,#,.,#,#,.,.,.,#,#,.,#,.,.,#,#,.,#,#,.,.,.,#,.,.,.,.,.,#,.,.,.,#,.,#,.,#,#,.,.,.,#,.,#,.,#,.,#,.,.,#,#,.,#,#,.,#,.,#,#,.,.,#,.,#,#,.,.,.,.,#,.,.,#,.,.,.,.,#,.,#,.,.,.,.,.,.,.,.,.,#,.,.,.,#,.,.,.,#,#,#,.,#,.,.,#,.,.,#,.,.,.,.,.,#,#,.,.,#,.,.,#,#,.,.,.,#,.,.,#,.,#,#,#,.,.,#,.,.,.,#,#,.,#,.,.,.,#,.,#,#,.,#,.,.,.,.,#,#,#,.,#,#,.,#,.,.,.,#,.
.,#,.,#,.,.,.,.,.,#,#,.,.,.,#,#,.,.,.,.,#,.,.,.,#,#,#,.,.,.,#,.,#,#,.,.,.,.,#,#,#,.,.,#,.,.,.,.,#,.,#,.,#,.,.,.,#,.,.,.,#,.,#,.,.,.,#,#,#,#,.,.,#,.,.,.,.,.,#,.,.,#,.,.,#,.,.,#,#,#,#,#,.,.,.,#,.,.,.,.,.,#,.,.,.,#,#,.,#,#,.,#,.,.,.,#,#,#,#,.,#,.,.,.,.,#,#,#,#,.,.,#,.,#,.,#,.,#,.,.,.,.,.,#,.,.,.,#,.,.,#,.,.,.,#,.,#,.,.,#,.,#,.,.,.,#,.,#,#,#,.,#,.,#,#,.,.,#,.,#,.,.,.,.,.,.,#,.,.,.,#,#,.,.,#,.,.,#,.,#,#,.,#,.,#,.,#,.,#,.,#,.,#,#,.,#,#,#,#,.,#,.,#,.,#,.,#,.,.,.,.,.,.,#,#,.,#,.,.,#,#,#,#,#,.,.,#,.,.,#,.,.,.,#,.,#,#,.,#,.,.,.,.,#,.,#,#,.,#,.,.,.,#,.,.,#,.,#,.,.,.,.,.,#,#,#,.,.,.,.,.,#,.,#,.,.,#,#,.,.
.,#,.,.,.,#,.,#,#,.,.,.,#,.,.,.,#,.,#,.,.,#,.,#,.,.,#,.,#,#,#,.,#,#,#,.,#,#,.,#,#,.,#,.,.,#,#,.,#,.,#,.,#,.,#,.,.,#,.,#,.,.,.,#,.,#,.,.,.,.,#,.,.,#,.,#,.,#,.,.,#,#,#,.,.,#,.,.,.,.,.,.,#,.,#,.,#,.,#,#,.,#,.,#,.,.,.,#,.,.,.,#,.,#,#,.,.,.,.,.,.,.,#,#,.,#,.,.,.,#,.,#,.,#,.,.,.,.,#,#,#,#,.,#,.,#,#,.,.,#,.,#,#,.,.,#,.,#,.,#,.,#,.,#,.,.,.,.,.,#,.,.,#,.,.,.,#,.,#,.,.,#,#,#,#,.,#,#,#,.,#,.,.,#,.,.,#,.,#,.,.,.,#,.,#,#,.,.,#,.,#,.,.,.,#,.,.,.,#,.,#,.,.,#,.,.,.,#,#,.,#,#,.,.,.,.,.,#,.,#,.,.,.,.,.,#,#,.,#,.,#,.,#,.,#,.,.,.,#,#,.,#,.,#,.,.,.,#,.,#,.,#,#,.,#,.,.,.,#,.,#,#,#,.,.,.,#,#,#,.,#,.,.,#,.,#,#,.,.,#
#,.,.,#,#,.,.,#,.,.,#,#,.,.,#,.,.,#,.,#,.,.,.,#,#,.,#,.,#,.,.,.,.,#,#,.,#,.,.,.,.,.,.,#,#,.,#,.,#,.,#,.,.,#,.,#,#,.,.,#,#,.,#,#,.,.,#,.,#,.,.,#,.,.,.,.,#,.,.,#,.,#,.,#,.,.,#,#,#,#,#,.,#,.,.,.,#,.,.,#,.,.,#,#,#,#,.,.,.,#,.,.,.,#,#,#,.,#,#,#,#,#,.,#,.,#,#,.,#,.,.,#,.,#,#,.,#,#,.,.,.,.,#,.,.,.,.,.,#,.,.,.,.,#,.,.,.,#,#,#,.,#,.,.,#,#,#,#,.,.,.,#,.,.,#,#,.,.,.,#,#,.,.,.,#,#,.,.,.,.,#,.,#,.,#,.,.,.,#,.,#,#,.,.,.,#,.,#,.,.,#,#,.,#,.,.,#,.,#,.,#,#,.,.,#,#,.,.,.,#,.,#,#,.,#,#,#,.,.,#,#,.,#,.,#,.,.,.,#,.,#,.,.,.,#,.,#,#,.,#,.,#,.,.,#,#,.,.,.,#,#,.,.,.,.,#,.,#,#,.,.,.,.,.,#,#,#,.,#,.,#,.,#,#,.,.,.,#,#,#
.,#,.,.,.,#,#,#,.,#,#,.,.,#,#,#,.,.,.,.,#,.,#,.,.,.,#,.,.,#,.,#,.,.,.,.,#,.,#,#,#,#,.,.,.,.,.,.,#,.,#,#,.,.,.,.,.,.,#,.,.,.,#,.,.,#,.,.,.,#,.,.,#,.,#,.,#,.,#,.,.,.,.,.,#,.,.,.,.,.,#,.,#,#,.,#,.,.,#,.,#,.,.,#,.,.,#,#,#,.,#,#,#,.,#,.,.,#,.,.,.,#,.,#,.,.,.,.,#,.,#,.,.,.,#,.,.,.,.,#,#,.,.,#,#,.,#,#,.,.,#,#,.,#,.,#,#,.,.,.,.,.,#,.,#,.,.,.,#,#,#,.,.,#,.,.,.,#,.,.,.,.,#,.,.,#,.,#,#,#,.,.,#,.,.,#,#,.,.,.,#,.,.,#,.,#,.,.,#,.,.,.,.,#,.,#,.,#,.,.,.,#,#,.,.,.,#,#,#,.,.,.,.,#,.,.,.,.,#,.,.,.,.,#,#,.,#,#,.,.,.,#,#,.,#,.,#,.,.,.,.,#,#,.,.,#,.,#,#,.,.,.,#,#,#,#,.,.,.,#,.,#,#,.,.,.,.,.,#,.,#,.,#,.,#,#,.,.,.,#
.,#,.,#,#,.,.,.,.,#,.,.,#,.,#,.,#,.,#,.,#,#,.,.,#,#,.,#,.,.,#,.,.,#,#,#,.,.,#,.,.,.,#,.,#,#,#,.,#,.,.,.,#,#,#,.,#,#,.,.,#,.,.,#,.,#,.,#,#,.,.,#,.,.,#,#,#,.,.,#,.,#,.,#,#,#,#,#,.,#,.,.,.,#,.,.,#,.,#,.,.,#,.,.,#,.,#,.,.,.,.,.,.,.,.,.,#,.,#,.,#,.,.,.,#,#,#,.,#,.,.,#,#,.,#,#,.,#,.,.,.,#,.,.,.,#,.,#,.,#,#,#,.,#,.,.,#,.,#,.,#,.,#,.,.,#,#,.,.,.,.,#,.,.,.,#,#,.,#,.,#,.,#,#,.,#,.,.,.,.,#,.,.,.,#,.,.,#,#,#,.,#,#,#,.,.,#,.,.,#,#,#,#,.,.,.,.,.,#,#,.,.,.,#,#,.,#,.,.,.,#,#,.,.,.,#,#,#,.,#,.,#,.,.,.,.,#,.,#,.,#,#,#,.,.,.,.,.,#,.,#,.,#,.,#,#,.,.,#,.,#,.,#,.,.,.,#,#,.,#,.,#,#,#,#,#,.,#,#,.,#,.,.,.,.,.,#,#,.,#
.,#,#,.,.,.,#,.,#,.,.,#,.,.,.,.,.,#,#,.,.,.,#,.,.,.,.,.,#,.,#,.,#,.,.,.,.,#,#,.,#,.,#,#,.,.,.,#,.,#,.,#,.,.,.,#,.,.,#,.,#,.,#,#,.,#,.,#,#,.,#,.,.,#,.,.,.,.,#,.,.,#,.,.,#,.,.,#,.,#,.,#,#,.,.,#,.,.,#,.,#,#,#,.,#,.,.,.,#,#,#,#,#,#,.,#,.,.,.,.,.,.,#,.,.,.,#,.,.,#,.,.,#,.,.,.,#,.,.,#,.,.,#,.,#,.,.,#,.,.,#,.,.,.,#,#,.,.,.,#,.,#,.,.,#,.,.,.,#,#,.,.,#,#,#,#,.,.,.,#,.,.,.,#,.,.,#,.,#,.,#,.,#,.,#,#,.,.,.,.,.,.,.,.,.,#,.,#,.,.,.,.,#,.,#,.,#,.,.,#,#,#,.,.,#,.,.,.,#,#,#,.,#,#,#,.,.,.,.,.,#,#,.,#,#,#,.,.,.,.,.,#,.,#,#,#,#,.,.,#,.,.,.,.,.,.,#,.,.,.,#,#,#,.,#,.,.,#,.,#,.,.,#,.,.,.,.,#,.,.,#,#,.,#,.,#,#,#,.,.
.,.,.,.,#,.,#,#,.,#,.,#,.,#,#,#,.,#,.,#,#,.,#,#,.,#,#,#,#,.,#,.,#,.,#,#,#,.,.,.,#,.,.,.,.,#,.,#,.,#,.,.,.,#,.,.,#,.,.,.,.,#,.,.,.,#,#,.,.,.,#,.,#,#,.,#,#,#,.,#,.,.,#,.,#,#,.,#,.,.,.,.,.,.,#,.,#,.,#,.,#,#,.,.,.,.,#,#,#,.,.,.,.,.,#,.,.,#,#,#,.,#,.,.,#,.,#,.,#,.,.,#,.,#,#,.,.,#,#,.,#,#,#,.,.,.,#,.,#,.,#,#,#,.,.,.,#,#,.,.,.,.,#,.,.,.,#,#,.,.,.,#,.,.,.,.,.,#,.,#,#,#,.,#,.,#,.,#,#,.,.,#,.,.,.,.,.,#,.,#,#,#,#,#,.,#,.,.,#,#,#,.,.,.,#,.,.,#,.,.,.,.,#,.,.,#,#,#,.,.,.,.,.,.,#,.,#,.,#,.,.,.,.,.,.,.,#,.,#,#,.,.,.,#,.,.,.,#,#,.,.,#,#,#,#,.,.,#,#,#,.,.,.,.,#,#,.,.,.,#,#,#,.,.,#,.,#,.,.,#,.,#,.,#,.,.,#,.,#,.
#,#,#,.,#,#,.,.,.,.,#,.,.,#,.,.,.,#,.,#,.,.,.,#,.,#,.,.,.,.,#,#,#,.,#,.,#,.,#,#,.,#,.,#,#,.,.,#,.,.,.,#,#,.,.,#,.,.,#,.,#,.,.,#,#,.,.,.,#,.,#,.,.,.,.,#,.,.,.,.,#,.,#,.,.,#,.,.,#,#,.,#,#,#,.,.,.,.,#,.,.,.,.,#,#,#,.,.,.,.,#,.,#,.,.,.,#,.,.,.,#,.,.,#,.,#,#,.,.,#,.,#,.,.,.,#,.,.,.,.,.,.,.,.,#,.,#,.,#,.,.,.,#,#,#,.,#,.,.,#,#,.,#,#,.,#,.,.,.,#,#,.,.,#,#,#,#,#,.,.,.,.,#,.,.,#,.,.,.,#,.,#,.,#,.,#,.,.,#,.,.,.,.,#,.,#,.,#,.,.,.,#,#,#,.,#,#,.,#,#,.,#,.,#,.,#,.,.,#,.,#,#,#,.,.,#,.,#,#,.,#,#,#,#,#,.,#,#,.,.,.,#,#,#,.,#,.,.,.,#,#,#,.,.,.,#,#,.,.,.,.,#,.,#,.,#,#,#,#,.,.,.,.,#,.,.,#,.,#,.,.,.,.,#,.,#,.,.,.,#
.,.,.,.,.,#,.,#,#,.,#,#,.,#,.,#,#,#,.,.,.,#,#,.,.,#,.,#,.,#,.,.,.,.,#,.,#,.,#,.,.,.,#,.,.,.,#,#,#,#,#,#,.,.,#,#,.,#,.,.,.,#,.,#,.,.,#,.,#,.,#,#,#,.,#,.,.,#,#,.,.,.,.,#,.,.,.,#,.,.,#,.,.,.,#,#,.,#,.,#,#,#,#,#,.,.,.,#,#,.,.,#,.,.,#,#,.,.,#,.,.,#,.,#,.,.,.,.,#,.,.,#,.,#,.,.,#,.,#,.,#,#,#,#,.,.,#,.,.,#,#,.,.,.,#,.,.,#,.,.,#,.,.,.,#,.,.,#,#,.,.,.,#,#,.,.,.,.,#,#,#,.,.,#,.,.,.,#,.,#,.,.,#,.,.,.,#,#,.,.,#,#,.,#,.,.,.,#,#,.,#,#,.,.,.,.,.,.,.,#,.,.,.,#,.,#,#,.,#,.,#,.,.,#,.,.,.,.,.,#,.,.,.,.,#,.,.,#,.,#,#,.,.,.,.,#,.,#,.,.,.,.,.,#,.,.,.,.,#,#,#,.,#,.,.,.,.,.,.,.,#,#,#,#,.,#,.,.,#,.,#,#,#,.,#,.,.,#,.,.
.,#,#,.,#,#,.,.,#,.,.,.,.,#,.,.,.,.,#,.,#,.,.,.,#,.,.,#,#,.,.,#,.,#,#,.,#,.,#,.,#,#,#,.,#,#,#,#,.,.,.,.,.,#,.,.,.,#,.,#,.,#,.,.,#,.,.,#,.,.,.,.,.,#,.,#,#,#,.,#,#,#,.,#,#,#,.,.,#,.,#,.,#,.,.,.,.,#,.,.,.,.,.,.,#,#,.,.,#,#,.,.,#,#,.,.,.,#,.,#,.,#,.,.,#,.,#,#,.,.,#,.,.,#,#,#,#,#,.,#,.,.,.,#,#,.,#,#,.,.,#,.,#,.,#,#,.,.,#,.,#,#,#,.,#,.,#,#,.,.,#,#,.,.,.,#,#,.,.,.,.,#,.,.,#,.,#,.,.,.,#,.,#,.,#,#,.,.,.,#,#,#,.,.,#,#,.,.,#,.,.,.,#,.,#,#,.,#,.,.,#,.,#,#,.,.,.,.,.,.,#,.,#,#,#,#,#,#,.,.,#,.,#,.,.,#,.,.,.,#,#,.,#,#,#,.,#,#,#,#,#,#,.,#,#,#,#,#,.,.,.,.,#,.,#,#,#,.,#,.,.,.,.,.,#,.,.,#,#,.,#,.,.,.,.,.,#,.,#,#
.,#,.,#,.,.,.,#,.,#,#,.,#,.,#,#,#,.,#,.,.,.,#,.,.,#,.,.,.,#,.,#,#,.,.,.,#,.,#,.,.,.,.,.,#,.,#,.,.,#,#,#,#,#,#,#,#,#,.,#,.,.,#,.,#,#,.,#,#,#,#,#,.,#,.,.,.,.,.,.,.,#,.,.,.,.,#,.,#,.,#,.,#,#,#,#,#,.,.,#,#,.,#,.,.,.,#,.,.,.,#,#,.,.,.,#,#,.,.,#,.,.,#,.,#,.,#,.,#,.,#,#,.,.,.,.,#,.,.,#,.,#,.,.,.,.,.,.,#,.,.,#,.,.,.,.,#,.,.,#,.,.,.,.,#,.,.,.,.,#,.,.,.,#,#,.,#,.,#,#,.,.,#,.,#,#,.,.,#,#,.,.,#,.,#,.,.,#,.,.,#,.,#,.,.,.,#,.,.,.,#,.,#,.,#,.,.,#,.,#,.,.,#,.,#,#,#,.,#,#,.,.,.,#,.,.,.,#,.,#,.,.,#,#,.,.,#,#,#,.,.,.,#,.,.,.,.,#,.,.,.,.,#,.,.,.,.,.,#,.,#,.,#,.,.,.,.,#,.,#,#,#,#,.,#,#,.,.,.,.,#,.,#,#,.,#,.,.,.,.
.,.,.,#,.,#,#,#,.,.,.,#,.,.,.,.,#,.,.,#,#,.,#,#,#,.,.,#,.,.,.,.,.,#,.,#,#,.,.,#,.,#,.,#,.,.,.,.,#,#,.,.,.,#,.,.,.,.,.,.,#,.,#,.,.,#,.,.,.,.,.,#,.,.,#,.,#,#,#,#,.,#,.,#,#,.,#,.,.,.,#,.,.,.,.,.,.,.,#,.,.,#,.,#,#,.,.,#,#,.,.,#,.,#,.,.,.,.,#,.,#,.,#,#,#,.,#,.,#,.,.,#,.,#,#,.,.,.,#,#,.,.,#,.,#,#,#,.,.,#,.,.,#,#,#,.,.,#,.,.,.,#,#,#,#,#,#,.,#,.,.,#,#,.,#,.,.,#,.,#,.,#,#,.,.,.,#,.,.,.,#,.,#,.,#,.,#,.,#,.,.,.,.,#,#,.,.,#,#,#,.,.,#,.,#,.,#,#,.,#,.,#,.,.,.,.,.,#,.,.,.,#,.,.,.,#,.,#,.,.,.,#,.,#,#,.,#,.,.,.,#,#,.,.,#,#,.,#,.,#,#,.,#,.,#,#,.,#,.,.,#,#,.,.,#,#,.,.,.,.,.,.,#,.,.,.,#,.,#,.,#,.,#,.,#,#,.,#,#,#
.,#,.,#,.,.,.,.,#,#,.,#,.,#,#,.,.,#,.,.,.,#,.,.,.,#,.,.,#,#,#,#,.,.,.,#,.,#,.,.,#,.,.,#,.,#,.,#,.,.,.,#,.,.,.,#,#,#,.,#,#,#,.,#,.,#,.,#,#,#,.,.,#,.,.,.,#,.,.,#,.,#,.,.,#,.,.,#,#,.,#,.,#,.,#,#,#,#,.,#,.,.,.,#,.,#,.,#,.,.,#,.,.,#,#,#,#,#,#,.,.,.,.,.,.,.,.,.,.,#,.,#,#,.,.,.,#,#,.,.,#,.,.,#,.,.,.,#,.,.,#,.,.,.,.,#,.,.,#,#,#,.,.,.,#,.,.,#,.,.,#,.,.,.,.,#,.,.,.,#,.,.,.,#,#,.,#,.,#,.,#,.,#,#,#,.,#,.,.,#,#,.,#,.,.,.,#,.,.,.,#,.,#,.,#,.,.,.,#,#,.,.,.,#,#,.,#,.,.,#,#,.,#,.,#,.,#,.,#,#,#,.,.,.,.,.,#,.,#,#,.,.,.,#,.,#,.,#,.,#,#,.,.,.,#,.,.,#,#,.,.,.,#,.,.,#,.,#,#,#,#,#,.,#,#,.,#,.,#,#,.,.,#,.,.,.,.,.,.,#
#,.,#,.,.,#,#,.,#,.,.,.,.,#,.,.,#,.,#,#,.,.,.,#,.,.,#,#,.,.,.,#,.,#,#,.,.,#,.,#,.,.,#,#,#,.,.,#,#,#,.,.,#,.,#,.,.,#,.,.,#,.,.,.,.,#,.,#,.,.,.,#,#,#,#,#,.,#,.,#,.,.,#,.,.,#,.,#,.,.,.,#,.,#,.,.,.,.,.,.,#,.,#,.,.,#,.,.,#,.,.,.,#,.,.,.,.,.,.,#,.,#,#,#,#,#,.,#,#,#,.,.,.,#,#,.,.,.,#,.,#,.,#,.,.,#,.,.,#,.,.,#,.,#,.,#,#,.,.,.,.,.,#,.,.,#,.,.,#,.,#,#,.,#,.,#,#,.,#,.,#,#,.,.,#,.,#,.,#,.,#,.,.,.,.,.,.,#,.,.,.,#,.,.,#,#,#,.,#,.,.,.,#,.,.,#,#,.,.,.,#,#,#,.,.,.,.,#,.,#,.,.,#,.,.,.,.,.,.,.,#,.,#,#,#,#,.,.,#,#,.,#,#,.,.,.,.,#,.,.,.,#,#,#,.,#,.,.,#,#,#,.,.,#,.,.,#,.,.,.,.,.,.,.,.,.,#,.,.,#,.,#,.,.,#,.,#,#,#,#
.,.,.,#,.,.,#,.,#,#,#,#,#,.,.,#,#,.,.,.,#,#,#,#,#,.,#,.,.,#,.,#,.,.,.,.,#,.,.,#,#,.,.,#,.,.,#,.,.,.,#,.,#,.,#,.,#,#,.,#,.,.,#,#,#,.,.,#,.,#,#,.,#,.,.,.,.,.,.,.,#,.,.,#,#,.,.,#,.,#,.,#,.,.,.,#,.,#,#,.,#,.,.,.,#,#,.,#,#,.,#,#,.,.,#,.,#,#,.,.,#,.,.,.,.,#,#,.,.,.,#,#,.,#,.,.,#,.,.,.,#,.,.,#,.,.,#,.,.,#,.,.,.,#,.,.,.,#,#,#,#,#,#,#,.,.,#,.,.,.,.,.,.,#,.,.,.,.,.,.,.,.,#,.,.,.,#,.,#,.,.,#,#,#,.,#,.,#,.,#,.,#,#,.,#,.,.,.,#,#,#,#,.,#,.,.,.,#,.,#,.,.,.,.,#,#,.,#,.,#,.,#,.,#,#,#,.,#,#,.,#,.,#,.,.,.,#,.,.,.,.,#,.,.,#,#,.,.,#,#,.,.,.,#,.,.,#,.,.,.,.,#,.,.,.,#,.,.,#,.,#,.,#,.,#,.,#,.,#,#,.,.,#,#,.,#,#,.,.,.
.,#,.,.,#,#,#,.,.,.,.,.,#,.,#,.,.,.,#,.,.,.,.,#,#,.,.,.,#,.,.,#,#,#,#,#,#,.,#,.,.,#,.,.,#,.,#,.,#,.,#,#,.,.,#,.,.,.,.,.,#,.,#,.,.,.,#,.,.,#,.,.,.,.,#,#,#,.,#,.,.,#,.,.,.,.,#,.,#,.,.,#,#,.,#,.,.,#,.,.,.,#,.,#,.,.,.,#,.,.,.,#,.,#,.,#,#,.,#,.,#,.,#,#,.,.,#,.,#,.,.,.,.,#,.,#,.,#,#,.,.,#,.,.,#,#,#,.,#,.,#,.,#,.,#,.,#,#,.,.,.,.,#,.,#,.,.,#,.,#,#,#,#,.,#,.,#,#,#,#,.,#,.,#,#,#,.,.,#,.,#,.,.,.,#,.,#,.,.,#,.,.,.,.,#,#,.,#,.,.,.,#,.,.,#,#,#,.,.,#,.,#,#,#,#,.,.,#,.,#,.,#,.,#,.,#,.,.,#,#,#,.,.,.,#,.,#,.,#,#,#,.,.,#,#,.,.,#,.,.,.,#,#,.,.,#,.,#,.,#,.,#,.,#,#,.,.,#,.,#,.,#,.,.,#,#,#,.,.,.,#,.,.,.,.,.,.,.,#,#
#,.,#,.,.,.,.,#,.,#,#,.,#,.,.,.,#,#,.,.,#,#,.,.,.,#,#,#,.,#,.,.,.,.,.,.,.,.,#,#,.,.,#,.,#,.,.,.,#,.,.,.,#,.,#,#,#,#,#,.,#,.,.,#,#,#,.,.,#,.,#,.,#,#,.,.,#,.,.,#,.,.,#,#,#,#,.,.,#,.,#,.,.,.,#,.,#,.,.,#,.,#,.,.,#,.,#,.,.,#,#,#,.,#,.,.,.,.,#,.,#,.,.,.,#,.,.,.,#,.,#,#,#,#,.,.,.,.,.,#,.,.,#,.,.,.,.,.,.,.,.,#,.,.,.,#,.,.,.,#,#,.,#,.,.,#,.,.,.,#,.,.,.,.,.,#,.,.,.,.,.,.,.,.,.,#,#,#,.,.,#,.,#,.,.,.,.,.,#,.,#,#,.,#,.,.,.,.,.,#,.,#,#,.,.,.,.,.,#,.,.,#,.,.,.,.,#,.,.,#,.,.,.,.,.,#,.,#,.,.,.,#,#,#,.,.,#,.,.,.,#,.,#,.,.,.,#,#,.,#,#,.,.,.,#,.,.,.,#,#,.,#,.,#,.,#,.,.,.,.,.,.,#,#,.,.,.,#,#,.,.,#,#,#,#,#,#,#,.,.
.,.,#,#,.,#,.,#,.,.,#,.,.,#,.,#,.,.,.,#,.,.,#,.,#,.,.,.,.,#,#,#,#,#,#,#,.,#,.,.,.,#,#,.,#,.,#,.,#,#,#,.,#,.,.,.,.,.,.,#,.,#,.,.,.,.,#,.,#,.,#,.,.,.,#,.,.,#,.,.,#,#,#,.,.,.,#,.,.,.,#,.,#,#,.,.,#,#,#,.,.,#,#,.,#,.,.,#,#,#,.,.,.,#,#,.,#,#,.,.,.,#,.,#,.,.,#,#,.,#,.,.,.,.,#,#,.,#,.,#,#,.,#,#,.,#,.,#,#,#,#,.,.,#,.,.,.,#,#,.,#,.,.,.,#,.,#,#,#,#,.,#,#,#,.,#,.,#,#,#,.,#,.,#,.,.,.,.,.,#,#,.,.,#,.,#,#,.,#,.,#,.,.,.,#,#,#,#,#,.,.,.,#,#,.,#,.,#,.,.,#,.,#,#,.,#,.,#,.,.,#,.,#,#,#,.,.,.,.,#,.,#,.,.,.,#,.,#,#,#,#,.,#,.,#,#,.,.,.,#,.,.,#,.,.,.,#,#,.,.,.,#,.,.,.,#,#,#,#,#,#,.,.,.,.,#,.,.,.,#,.,#,.,.,.,.,.,#,.,#
